口径,数量
原始主队列驾驶员,18
8月目录,29
8月有车辆recording,26
8月有四通道生理,27
8月有合格旧转向事件,26
跨批次同一驾驶员,6
8月真正新增驾驶员,20
原始recording,85
8月车辆recording,136
合并recording,221
