model,subject_macro_curve_mae_deg,subject_macro_head5_mae_deg,subject_macro_tail5_mae_deg,subject_macro_endpoint_mae_deg,subject_macro_peak_time_mae_s,pooled_curve_mae_deg_reference_only
B_all3_full,12.615146920093583,4.072079992295874,19.06065601630981,19.6330357552527,0.19893149854912565,13.184605973110855
B_all3_without_yaw_roll_rate,12.620052237858634,4.053373627990051,19.201939104020088,19.91989685037543,0.20343365082210438,13.183124664897838
M2_full,13.021386265344278,4.377702036004205,19.856213683390752,20.737474435804092,0.20194544297954573,13.60163137936361
M2_without_yaw_roll_rate,12.96675339632089,4.316468842007681,19.853512457486886,20.739146420611142,0.20179056449651936,13.552143481413864
M3_full,12.834043507452863,4.17593937117001,19.165674834609096,19.74924922696203,0.1945922316173449,13.410705173501782
M3_without_yaw_roll_rate,12.845897390544968,4.150170586042183,19.41552232114656,20.127026608828842,0.20066391278578866,13.4242474348763
M4_full,12.780689689975658,4.072403160153174,19.28444677537948,19.661699839173362,0.19880429948685563,13.334860042374547
M4_without_yaw_roll_rate,12.7936130802687,4.082033395235744,19.45063567958318,20.137295774541624,0.20073114521085192,13.351369789278905
