comparison,positive_outer_fold_count,subject_macro_gain_deg,bootstrap_ci_lower_deg,bootstrap_ci_upper_deg,subject_improved_count,subject_worsened_count,subject_count,pair_gate_pass
rolling_V_minus_initial_tail,5,6.994439065452777,6.179003471931644,7.8816791793244905,18,0,18,True
rolling_V_minus_pre_only,5,6.896817732603061,6.156721399176751,7.709569777801322,18,0,18,True
