model,event_count,subject_count,subject_macro_curve_mae_deg,subject_macro_head5_mae_deg,subject_macro_tail5_mae_deg,subject_macro_endpoint_mae_deg,subject_macro_peak_time_mae_s,pooled_curve_mae_deg_reference_only
B_all3,2323,18,12.615146920093583,4.072079992295874,19.06065601630981,19.6330357552527,0.19893149854912565,13.184605973110855
B_all3_eye_true,2323,18,12.624581988331357,4.083503668418691,19.06250931354664,19.63633772780042,0.19970355114333843,13.200200700658256
B_all3_eye_shift_control,2323,18,12.64041743959183,4.0802117708828405,19.088304601443607,19.65114237401719,0.19933518607080808,13.214876685734945
M2_vehicle_anchor,2323,18,13.021386265344278,4.377702036004205,19.856213683390752,20.737474435804092,0.20194544297954573,13.60163137936361
M2_eye_true,2323,18,13.045349667075,4.424568947494887,19.858036340020078,20.74261546868868,0.1991924686872656,13.63544765668109
M2_eye_shift_control,2323,18,13.082680958361932,4.409168644572071,19.938756120526996,20.836100984582306,0.1998528465811377,13.673116134655052
