model,improvement_subject_macro_mae_deg,ci_lower_deg,ci_upper_deg,top_contributing_subject,leave_top_subject_improvement_deg,subject_improved_count,subject_worsened_count
D_disagreement_raw,0.047035953912263666,0.027482463424885063,0.07102062895385444,txj,0.039553296029408255,18,0
D_disagreement_protected,0.01580536657292492,0.0004256712682480532,0.03938144916327661,txj,0.006485615317167221,11,7
P_physio_raw,0.047111170301518936,0.025533178997895478,0.07019857167218317,txj,0.03947924749482789,16,2
P_physio_protected,-4.5487260165662024e-17,-1.6486609068979136e-16,6.791051600285891e-17,txj,-6.721439181565869e-17,10,8
S_style_raw,0.04699815141680072,0.02658082301527509,0.06980980548807726,txj,0.03943656522081957,17,1
S_style_protected,-4.5487260165662024e-17,-1.6274962825091692e-16,6.641676237212856e-17,txj,-6.721439181565869e-17,10,8
PS_physio_style_raw,0.04615215653008332,0.025634267178608217,0.06948231300852942,txj,0.03879456731427994,16,2
PS_physio_style_protected,-4.5487260165662024e-17,-1.718993116357601e-16,5.898661790091185e-17,txj,-6.721439181565869e-17,10,8
