model,events,subjects,pooled_mae_deg,subject_macro_mae_deg,event_worsened_fraction_vs_B_all3,subject_worsened_count_vs_B_all3
B_all3,2323,18,13.184605973110855,12.615146920093583,0.0,0
D_disagreement_raw,2323,18,13.138761953021122,12.568110966181319,0.47783039173482567,0
D_disagreement_protected,2323,18,13.167710988306991,12.599341553520658,0.09599655617735686,7
P_physio_raw,2323,18,13.140504711452582,12.568035749792063,0.49117520447696944,2
P_physio_protected,2323,18,13.184605973110855,12.615146920093583,0.0,8
S_style_raw,2323,18,13.139072007891409,12.568148768676783,0.4855789926818769,1
S_style_protected,2323,18,13.184605973110855,12.615146920093583,0.0,8
PS_physio_style_raw,2323,18,13.141973157126234,12.568994763563499,0.488592337494619,2
PS_physio_style_protected,2323,18,13.184605973110855,12.615146920093583,0.0,8
