model,event_count,subject_count,subject_macro_curve_mae_deg,pooled_curve_mae_deg,pooled_curve_rmse_deg,endpoint_mae_deg,tail5_mae_deg,peak_time_mae_s,tail_direction_accuracy,p90_peak_underestimation_deg
M0_hold,2323,18,21.45949548141961,22.717434778775484,36.32979745381758,36.05512972212562,33.54346367290923,0.7277658200602669,0.0008609556607834697,88.0407783526408
M0_linear_extrap,2323,18,35.72365945735931,38.072796349296766,58.50449510501354,82.81981607522673,73.6880332160748,0.22544123977615155,0.26345243219974174,20.033381116721547
M0_ridge,2323,18,14.587177757741435,15.159606047742988,25.62289571408908,25.759865395230367,24.185392888037217,0.2056607834696513,0.7486009470512268,42.11694347945911
M0_extratrees,2323,18,13.021386265344278,13.60163137936361,22.501928852954766,21.769879115105386,20.822876269444638,0.19522169608265175,0.7438656909169178,37.435343499490564
M0_transformer,2323,18,13.502659496075001,13.965131123953661,23.609235723944224,22.9980137750966,21.793425712478854,0.1975893241498063,0.74687903572966,34.89979858656504
