cohort,stable_brake_onsets,high_speed_brake_onsets,high_speed_brake_steer_lt5deg,high_speed_brake_steer_5to20deg,high_speed_brake_steer_ge20deg,stable_accelerator_onsets,event_window_one_accelerator_onset_fraction,event_window_multiple_accelerator_onsets_fraction,event_window_one_brake_onset_fraction,event_window_multiple_brake_onsets_fraction
original_pfull_recordings,1925,1586,397,514,675,3276,0.2083512699,0.0279810590,0.1820921223,0.0116229014
august_recordings,547,387,154,120,113,581,0.1309090909,0.0036363636,0.2545454545,0.0145454545
