cohort,events,events_with_continuous_physio,pre_available_min_s,pre_available_median_s,pre_available_max_s,post_available_min_s,post_available_median_s,post_available_max_s,pre_ge2s,pre_ge30s,pre_ge60s,post_ge1s,post_ge5s,post_ge30s
original_pfull,2323,2165,4.968,306.019,892.816,2.085,266.527,831.709,2165,2145,2063,2165,2157,2052
august_eligible,275,265,11.577,92.302,165.517,1.387,27.254,128.955,265,249,214,265,253,125
