model,amplitude_bin,event_count,subject_count,subject_macro_relative_mae,subject_macro_mae_deg_reference_only,pooled_mae_deg_reference_only,full_bin_median_release_amplitude_deg,pooled_relative_mae_reference_only
M0_hold,10_20,101,16,0.7492884830475982,13.20283563826047,12.614407925524926,18.50270516710174,0.6817601973117774
M0_hold,20_30,670,18,0.506989185339872,13.183143129842213,13.14532061960316,25.999841720867675,0.5055923324738021
M0_hold,30_45,1013,18,0.5833469038992023,20.927046047168105,21.89873492289959,36.12084023022,0.6062631650683009
M0_hold,45_70,443,18,0.6431585710081732,33.471601227599045,34.69039887549902,52.19871299776768,0.664583413713334
M0_hold,ge70,96,14,0.5824500522914927,47.75442522940083,53.54078954937459,81.03050894213554,0.6607485285277974
M2_vehicle_anchor,10_20,101,16,0.5227589616808368,9.381710704879303,10.055387685924742,18.50270516710174,0.5434550026665002
M2_vehicle_anchor,20_30,670,18,0.343244235655613,8.9171500092284,9.048867792408874,25.999841720867675,0.3480354953525037
M2_vehicle_anchor,30_45,1013,18,0.3658897415824357,13.088373565916761,13.062970862579256,36.12084023022,0.3616463730998789
M2_vehicle_anchor,45_70,443,18,0.36123322533298063,18.8188548562907,19.352709485796993,52.19871299776768,0.3707507019689284
M2_vehicle_anchor,ge70,96,14,0.30947934350626766,25.39038921079787,28.252232615296546,81.03050894213554,0.34866167057486536
M3_lgbm,10_20,101,16,0.490713423367779,8.876913372542962,9.509397424683467,18.50270516710174,0.5139463304853069
M3_lgbm,20_30,670,18,0.3448784756205615,8.956452829377103,9.046111891752023,25.999841720867675,0.34792949852812155
M3_lgbm,30_45,1013,18,0.3540058178475869,12.665572880381056,12.654557101847876,36.12084023022,0.3503394998896127
M3_lgbm,45_70,443,18,0.3462827412700814,18.019713387410018,19.010784536528003,52.19871299776768,0.3642002540817628
M3_lgbm,ge70,96,14,0.33780838791018575,27.547679733375382,30.11333455024946,81.03050894213554,0.37162958672459534
M4_hist,10_20,101,16,0.4904496744844626,8.880585442182447,9.568082630246023,18.50270516710174,0.5171180399749495
M4_hist,20_30,670,18,0.346603736388695,9.001435907581499,9.110219892409564,25.999841720867675,0.35039520587148926
M4_hist,30_45,1013,18,0.352804921519793,12.621003095387007,12.593081420712329,36.12084023022,0.3486375549530131
M4_hist,45_70,443,18,0.34318149738234993,17.86618836250789,18.77536193157025,52.19871299776768,0.359690131294486
M4_hist,ge70,96,14,0.32941536878808486,26.862781545850797,29.503951979162576,81.03050894213554,0.3641091776954228
