candidate_model,reference_model,subject_count,dense_floor_ratio_improvement_estimate,ci_lower,ci_upper,ci_crosses_zero,gate_ci_lower_above_zero,repetitions,unit,seed,subject_delta_values_json
M3_lgbm,M2_vehicle_anchor,18,0.05741591338106473,0.02248367423448494,0.09187719018250526,False,True,2000,subject,20261469,"{""byx"": 0.03787693591176433, ""cwh"": 0.07179493506739121, ""gf"": 0.011396875391227912, ""gzj"": 0.10328746896791552, ""hzh"": -0.00473550307699977, ""jy"": 0.09325947430764048, ""lx"": 0.02841875227383528, ""lxy"": 0.022532451457197178, ""rjy"": -0.027467704544664073, ""txj"": 0.09354457410904216, ""tyy"": 0.005993519841876793, ""xst"": 0.13527320937076315, ""yyl"": 0.10744400339172255, ""yzy"": 0.12635417901507662, ""zdq"": 0.2784112936479395, ""zt"": -0.09963063097103353, ""zx"": 0.020891874217296547, ""zxy"": 0.028840732481173248}"
M4_hist,M2_vehicle_anchor,18,0.0484424058265428,0.015178318926210835,0.09176079748704856,False,True,2000,subject,20261492,"{""byx"": -0.015598697540848416, ""cwh"": 0.05751488476474309, ""gf"": 0.010411873095870217, ""gzj"": 0.07506606680319106, ""hzh"": 0.017117964448038592, ""jy"": 0.09545585931486444, ""lx"": 0.009350016262855032, ""lxy"": 0.0111231564043337, ""rjy"": -0.016432677442754784, ""txj"": 0.08750861822889666, ""tyy"": -0.04271325723125097, ""xst"": 0.1509315942098033, ""yyl"": 0.07239968972772393, ""yzy"": 0.09955619731547927, ""zdq"": 0.30073101504831445, ""zt"": -0.0871097750882428, ""zx"": 0.011863736138160608, ""zxy"": 0.03478704041859304}"
