model,subject_macro_curve_mae_deg,pooled_curve_mae_deg_reference_only,event_shape_correlation_median,subject_macro_negative_correlation_fraction,peak_abs_error_deg,endpoint_abs_error_deg
C_B_all3,12.615146920093583,13.184605973110855,0.83505450796406,0.11228570925345899,16.567929807216743,20.814100490790388
F_factorized_summary,15.513366330004693,16.109509613233485,0.8217622352482531,0.12312494937567046,16.38908529795518,21.5323686946972
R_factorized_phase,15.577154691792186,16.19481327035264,0.817366793393025,0.1271460972397659,16.38908529795518,21.723934455356765
F_blend25,12.747010374005141,13.344049368713296,0.8353178035260626,0.11582372921259439,15.89164731500659,20.67451820038947
R_blend25,12.75342966355402,13.353723872204586,0.8345765349697954,0.10884533884220932,15.88011834451793,20.737148585911736
