reference,candidate,improvement_deg,ci_lower,ci_upper,repetitions
C_B_all3,F_factorized_summary,-2.8982194099111083,-3.354217347735229,-2.4420787296203046,2000
F_factorized_summary,R_factorized_phase,-0.06378836178749411,-0.1560010345291193,0.04451499801390652,2000
C_B_all3,R_blend25,-0.13828274346043468,-0.2886069289755108,0.013541211503454796,2000
