model,amplitude_bin,event_count,subject_count,subject_macro_relative_mae
C_B_all3,10_20,101,16,0.4843241940686629
C_B_all3,20_30,670,18,0.337728029621526
C_B_all3,30_45,1013,18,0.35124402766382945
C_B_all3,45_70,443,18,0.34354165977258533
C_B_all3,ge70,96,14,0.3133069839843982
F_factorized_summary,10_20,101,16,0.5720602903415123
F_factorized_summary,20_30,670,18,0.4229019096160464
F_factorized_summary,30_45,1013,18,0.43735464294760934
F_factorized_summary,45_70,443,18,0.4029156176986913
F_factorized_summary,ge70,96,14,0.4149818084330944
R_factorized_phase,10_20,101,16,0.5877114333072744
R_factorized_phase,20_30,670,18,0.423563387105302
R_factorized_phase,30_45,1013,18,0.43620454238938516
R_factorized_phase,45_70,443,18,0.4090533487683968
R_factorized_phase,ge70,96,14,0.4170611943058856
F_blend25,10_20,101,16,0.4851526902209015
F_blend25,20_30,670,18,0.34552407118041756
F_blend25,30_45,1013,18,0.35428850445521615
F_blend25,45_70,443,18,0.34570949115364946
F_blend25,ge70,96,14,0.3191233316603629
R_blend25,10_20,101,16,0.4886542423313803
R_blend25,20_30,670,18,0.3457942321363183
R_blend25,30_45,1013,18,0.35441436462220544
R_blend25,45_70,443,18,0.3456488799795805
R_blend25,ge70,96,14,0.32056013764349356
