model,amplitude_bin,event_count,subject_count,subject_macro_relative_mae,subject_macro_mae_deg_reference_only,pooled_mae_deg_reference_only,full_bin_median_release_amplitude_deg,change_vs_B_all3
B_all3,10_20,101,16,0.4843241940686629,8.754571915459021,9.49965634672206,18.50270516710174,0.0
B_all3,20_30,670,18,0.337728029621526,8.771491577848328,8.901099363665134,25.999841720867675,0.0
B_all3,30_45,1013,18,0.35124402766382945,12.565783925458415,12.536370898513114,36.12084023022,0.0
B_all3,45_70,443,18,0.34354165977258533,17.88641807598228,18.735088922405154,52.19871299776768,0.0
B_all3,ge70,96,14,0.3133069839843982,25.572493673272753,28.183851021277935,81.03050894213554,0.0
M5_preview,10_20,101,16,0.5098693032619483,9.156277460945256,9.718984366844643,18.50270516710174,0.025545109193285453
M5_preview,20_30,670,18,0.34629059033650855,8.992739688315863,9.13289381183612,25.999841720867675,0.00856256071498257
M5_preview,30_45,1013,18,0.3551636290609382,12.703912879640823,12.62806951817454,36.12084023022,0.00391960139710873
M5_preview,45_70,443,18,0.3434921023936128,17.882355925927666,18.58380219714154,52.19871299776768,-4.955737897255341e-05
M5_preview,ge70,96,14,0.31479114483645104,25.69187025499401,28.485739124589827,81.03050894213554,0.0014841608520528293
M6_preview_only,10_20,101,16,0.5169284792873812,9.354031311953502,9.986391474077523,18.50270516710174,0.032604285218718276
M6_preview_only,20_30,670,18,0.3481205763472264,9.038797541285962,9.222075015420934,25.999841720867675,0.010392546725700391
M6_preview_only,30_45,1013,18,0.35562939164867113,12.726517552393961,12.723608522651142,36.12084023022,0.004385363984841684
M6_preview_only,45_70,443,18,0.34910730478398083,18.17991671661174,18.87427337917446,52.19871299776768,0.005565645011395504
M6_preview_only,ge70,96,14,0.31088124429853375,25.361575658640586,28.087780663131227,81.03050894213554,-0.0024257396858644587
