candidate_model,reference_model,subject_count,dense_floor_ratio_improvement_estimate,ci_lower,ci_upper,ci_crosses_zero,gate_ci_lower_above_zero,top_contributing_subject,top_subject_improvement,leave_top_subject_improvement,gate_leave_top_subject_improvement_positive,repetitions,unit,seed,subject_delta_values_json
M5_preview,B_all3,18,-0.04799695521800859,-0.07141092445530577,-0.025489887675495693,False,False,jy,0.03679072783266801,-0.05298446598569545,False,2000,subject,20261469,"{""byx"": -0.06759809473129308, ""cwh"": -0.10569588848322597, ""gf"": 0.013308799586726261, ""gzj"": -0.013674188379740215, ""hzh"": -0.057822623117016025, ""jy"": 0.03679072783266801, ""lx"": 0.0042219644283467694, ""lxy"": -0.0656328488779796, ""rjy"": -0.01889755319416997, ""txj"": 0.008157330828654441, ""tyy"": -0.15050261873550452, ""xst"": -0.1170965945953708, ""yyl"": -0.1076537109203155, ""yzy"": -2.536048321299944e-05, ""zdq"": -0.04242311475564131, ""zt"": -0.06854406299674176, ""zx"": -0.06776521800798774, ""zxy"": -0.043092139322350675}"
M6_preview_only,B_all3,18,-0.04036053866939435,-0.06529977725979204,-0.01805332490834086,False,False,lx,0.045595389274126985,-0.045416769724895605,False,2000,subject,20261469,"{""byx"": -0.1482172025232018, ""cwh"": -0.11192400210277409, ""gf"": -0.034386311277230686, ""gzj"": -0.04368252007935691, ""hzh"": -0.05861999613119684, ""jy"": 0.04427350470529001, ""lx"": 0.045595389274126985, ""lxy"": -0.017373319176869684, ""rjy"": -0.09192459783957974, ""txj"": -0.008397397349126479, ""tyy"": -0.12017147964094743, ""xst"": -0.01104535806711926, ""yyl"": -0.049050008763916964, ""yzy"": 0.010681013773182979, ""zdq"": -0.06248734526611344, ""zt"": -0.00328533180161239, ""zx"": -0.02756201175220596, ""zxy"": -0.0389127220304466}"
