model,subject_macro_curve_mae_deg,subject_macro_head5_mae_deg,subject_macro_tail5_mae_deg,subject_macro_endpoint_mae_deg,subject_macro_peak_time_mae_s,pooled_curve_mae_deg_reference
Plain_Raw_TCN,19.176816940307617,6.201136589050293,30.286945343017578,31.777067184448242,0.23961764312792577,17.72850227355957
Role_TCN,18.06155014038086,5.633094310760498,28.739013671875,30.540376663208008,0.23607708475269581,17.08796501159668
LGRS,17.538991928100586,5.629450798034668,27.98780632019043,29.844167709350586,0.2382608225917827,16.860857009887695
LGRS_lambda0,17.91393280029297,5.6674604415893555,28.551115036010742,30.172021865844727,0.2325377076350785,16.830856323242188
ExtraTrees_134D,14.110276222229004,4.645008563995361,21.12775993347168,22.03714370727539,0.21630439635655954,13.664018630981445
