stratum,model,events,subjects,subject_macro_mae_deg
combined,Plain_Raw_TCN,2598,38,19.176817447965195
combined,Role_TCN,2598,38,18.061550140897765
combined,LGRS,2598,38,17.538990739128103
combined,LGRS_lambda0,2598,38,17.913933165444373
combined,ExtraTrees_134D,2598,38,14.110274846207286
original_domain,Plain_Raw_TCN,2323,18,16.8357961624413
original_domain,Role_TCN,2323,18,16.236813531887115
original_domain,LGRS,2323,18,16.049835569199047
original_domain,LGRS_lambda0,2323,18,15.953287320212768
original_domain,ExtraTrees_134D,2323,18,12.968507284762154
august_all,Plain_Raw_TCN,275,26,20.586268664100906
august_all,Role_TCN,275,26,18.868152594942785
august_all,LGRS,275,26,18.48296549701695
august_all,LGRS_lambda0,275,26,19.068716070483564
august_all,ExtraTrees_134D,275,26,15.19241844382217
august_new_subjects,Plain_Raw_TCN,246,20,21.256408604176592
august_new_subjects,Role_TCN,246,20,19.689332369794897
august_new_subjects,LGRS,246,20,18.855804922952892
august_new_subjects,LGRS_lambda0,246,20,19.655292988073633
august_new_subjects,ExtraTrees_134D,246,20,15.108946186991071
